number,arabic_name,transliteration,english_meaning,visual_theme,flux_prompt
1,الفاتحة,Al-Fatiha,The Opening,a door opening onto radiant light,"an ornate arched doorway opening onto soft golden light and open sky, symbolizing a beginning, no text, no figures"
2,البقرة,Al-Baqarah,The Cow,a golden wheat field at dawn,"a vast golden wheat field at dawn with a single cow silhouette in soft mist far in the distance, pastoral and serene, no figures, no text"
3,آل عمران,Aal-i-Imran,The Family of Imran,an ancient stone archway and olive grove,"a weathered stone archway framing an olive grove at golden hour, sense of lineage and heritage, no figures, no text"
4,النساء,An-Nisa,The Women,a garden with intertwined blooming vines,"a lush garden trellis with intertwined blooming vines and soft light, symbolizing care and protection, no figures, no text"
5,المائدة,Al-Ma'idah,The Table Spread,a laid table with bread and fruit under open sky,"a simple wooden table set with bread, dates and fruit under open sky at dusk, no figures, no text"
6,الأنعام,Al-An'am,The Cattle,rolling green pastureland,"rolling green pastureland with distant grazing herds in silhouette, warm evening light, no figures, no text"
7,الأعراف,Al-A'raf,The Heights,a mountain ridge overlooking two valleys,"a rocky mountain ridge at sunrise overlooking two contrasting valleys, one lush and one barren, symbolizing a boundary between two paths, no figures, no text"
8,الأنفال,Al-Anfal,The Spoils of War,a battlefield banner and scattered shields,"an old battlefield at dawn with a lone standard banner and scattered shields in mist, solemn tone, no figures, no text"
9,التوبة,At-Tawbah,The Repentance,an open hand releasing doves toward light,"softly falling light rays breaking through storm clouds over an empty desert path, symbolizing return and forgiveness, no figures, no text"
10,يونس,Yunus,Jonah,a whale silhouette beneath moonlit waves,"a vast dark ocean at night with a faint whale silhouette beneath moonlit waves, mysterious and calm, no figures, no text"
11,هود,Hud,Hud,a sandstorm sweeping over an ancient ruin,"a violent sandstorm sweeping over a crumbling ancient stone ruin, dramatic amber sky, no figures, no text"
12,يوسف,Yusuf,Joseph,a deep well beneath a starlit desert sky,"a stone well shaft glimpsed from above beneath a starlit desert night sky, dramatic depth, no figures, no text"
13,الرعد,Ar-Ra'd,The Thunder,lightning over a dark stormy plain,"dramatic lightning bolts splitting a dark stormy sky over an open plain, powerful and awe-inspiring, no figures, no text"
14,ابراهيم,Ibrahim,Abraham,a lone flame in a garden of green,"a single small flame glowing peacefully within a lush green garden untouched by fire, symbolic contrast, no figures, no text"
15,الحجر,Al-Hijr,The Rocky Tract,carved rose-red cliff dwellings,"ancient rose-red sandstone cliff dwellings carved into a canyon wall, warm desert light, no figures, no text"
16,النحل,An-Nahl,The Bee,a golden honeycomb glowing in sunlight,"a intricate golden honeycomb glowing in warm sunlight with soft bokeh, detailed macro texture, no figures, no text"
17,الإسراء,Al-Isra,The Night Journey,a starlit path ascending into the sky,"a luminous path of light ascending from a moonlit mosque silhouette into a starry night sky, ethereal, no figures, no text"
18,الكهف,Al-Kahf,The Cave,a shaft of light entering a dark cave,"a single beam of sunlight piercing into a dark stone cave interior, dust particles visible, mysterious and calm, no figures, no text"
19,مريم,Maryam,Mary,a palm tree beside a quiet stream,"a solitary date palm tree beside a quiet flowing stream, soft golden light, serene and gentle, no figures, no text"
20,طه,Ta-Ha,Ta-Ha,a burning bush glowing on a mountainside,"a mystical glowing bush on a rocky mountainside at dusk, soft warm light emanating outward, no figures, no text"
21,الأنبياء,Al-Anbiya,The Prophets,a row of ancient lanterns lighting a path,"a row of glowing ancient oil lanterns lining a stone path into darkness, symbolizing guidance across generations, no figures, no text"
22,الحج,Al-Hajj,The Pilgrimage,a cube-shaped sanctuary surrounded by circling light trails,"an abstract black cube-form sanctuary at the center of concentric circling light trails, symbolizing pilgrimage and unity, no figures, no text"
23,المؤمنون,Al-Mu'minun,The Believers,a lantern glowing steady in a quiet courtyard,"a single brass lantern glowing steadily in a quiet stone courtyard at night, peaceful devotion, no figures, no text"
24,النور,An-Nur,The Light,a niche lamp radiating layered light,"a glass oil lamp glowing inside an ornate wall niche, radiant layered light beams, warm and luminous, no figures, no text"
25,الفرقان,Al-Furqan,The Criterion,a beam of light dividing day from night,"a dramatic horizon where a sharp beam of light divides a bright sky from a dark starry sky, symbolizing distinction between truth and falsehood, no figures, no text"
26,الشعراء,Ash-Shu'ara,The Poets,an open scroll fluttering in wind,"an old parchment scroll unrolling and fluttering gently in desert wind, ink calligraphic patterns visible, no figures, no text"
27,النمل,An-Naml,The Ant,a trail of ants beneath a towering green stalk,"a macro view of an ant trail winding beneath a towering green plant stalk, dew-lit morning light, no text"
28,القصص,Al-Qasas,The Stories,an oasis reflecting a golden sunset,"a tranquil desert oasis reflecting a golden sunset sky, palm trees at the edge, storytelling and journey mood, no figures, no text"
29,العنكبوت,Al-Ankabut,The Spider,a dew-covered spider web at sunrise,"an intricate spider web covered in morning dew catching golden sunrise light, delicate and fragile, no figures, no text"
30,الروم,Ar-Rum,The Romans,ancient stone columns at dusk,"weathered ancient Roman-style stone columns standing in ruins at dusk, empty and contemplative, no figures, no text"
31,لقمان,Luqman,Luqman,a father and child's footprints in sand,"two sets of footprints, one small one large, walking together across a quiet sand dune at sunrise, symbolizing wisdom and guidance, no figures, no text"
32,السجدة,As-Sajdah,The Prostration,a mountain valley bowed in mist,"a mountain valley blanketed in low morning mist, layered ridgelines suggesting quiet reverence, no figures, no text"
33,الأحزاب,Al-Ahzab,The Combined Forces,a fortified stone wall beneath a stormy sky,"a fortified ancient stone city wall beneath a gathering stormy sky, defensive and resolute mood, no figures, no text"
34,سبإ,Saba,Sheba,a lush garden turned to sparse ruins,"a split composition of a once-lush terraced garden now fading into sparse dry ruins, symbolizing change of fortune, no figures, no text"
35,فاطر,Fatir,Originator,a single seed sprouting from cracked earth,"a macro shot of a single green seedling sprouting from cracked dry earth, symbolizing origination and creation, no figures, no text"
36,يس,Ya-Sin,Ya-Sin,a heart-shaped glow at the center of a starfield,"an abstract radiant glow at the center of a deep starfield, resembling the heart of the cosmos, symbolic and profound, no figures, no text"
37,الصافات,As-Saffat,Those Who Set The Ranks,birds flying in orderly formation,"a flock of birds in silhouette flying in tight orderly formation across a dawn sky, no text"
38,ص,Sad,Sad,an ornate throne room bathed in light,"an empty ornate throne room bathed in soft golden light through high windows, regal and contemplative, no figures, no text"
39,الزمر,Az-Zumar,The Troops,layered columns of light converging,"multiple layered beams of soft light converging toward a single bright point in the sky, symbolizing gathering groups, no figures, no text"
